time,rsdt,rsut,rlut,tas
1850-07-02 12:00:00,340.4906549533635,100.91406028340994,238.23676776623438,286.00599082433104
1851-07-02 12:00:00,340.4800643309637,100.91486497570729,237.92437130661833,285.85163157312144
1852-07-02 00:00:00,340.4868415709441,100.77210860559605,237.87100895410717,285.95592987031716
1853-07-02 12:00:00,340.4589608640597,100.67350641240698,238.33491341429013,286.09613739936043
1854-07-02 12:00:00,340.4317325856161,100.94363986875135,238.1972834540929,286.0336234389148
1855-07-02 12:00:00,340.415162086258,100.76080496268679,238.08072823265104,285.94793641665666
1856-07-02 00:00:00,340.41828477951344,100.78834442351308,238.51424179718776,286.1073054928399
1857-07-02 12:00:00,340.4219061049493,100.59965663067895,238.1032624359267,285.99401820982865
1858-07-02 12:00:00,340.4553015018294,100.6601101338444,238.45907436896047,286.2072689025033
1859-07-02 12:00:00,340.48301668982884,100.89090205078976,238.26331566400395,286.05590831618156
1860-07-02 00:00:00,340.51156203586964,100.68500604169081,238.12589784901158,285.9978336404723
1861-07-02 12:00:00,340.49916816396325,100.83412932575862,238.35752284638713,286.17979611512084
1862-07-02 12:00:00,340.4756929188083,100.98534592238997,238.52337537131166,286.1253393116568
1863-07-02 12:00:00,340.46189971598756,100.51236324170098,238.0426596356931,286.02580159718633
1864-07-02 00:00:00,340.45589093601666,100.76792406301688,238.36503725540717,286.09638927227445
1865-07-02 12:00:00,340.4364427708604,100.92464557596132,238.09193088749225,285.95999051051336
1866-07-02 12:00:00,340.43090690533205,100.81227816204382,238.04868880945128,286.0255543296215
1867-07-02 12:00:00,340.4225430306827,100.85161467490612,238.08902485730346,285.9479158709883
1868-07-02 00:00:00,340.4496106888965,101.03300905571815,237.84697912414072,285.96488779876773
1869-07-02 12:00:00,340.47612464329524,100.6490962183127,238.06868691995476,285.9677676103913
1870-07-02 12:00:00,340.47892052171125,100.5932186194574,238.23821716794825,286.1776546952153
1871-07-02 12:00:00,340.5002555544329,100.70600320291481,238.41174875256672,286.27007532586833
1872-07-02 00:00:00,340.496699716667,100.60147128306137,238.3086204531061,286.16197724860007
1873-07-02 12:00:00,340.4699196593072,100.79606509333705,238.07843253489443,286.0757347570546
1874-07-02 12:00:00,340.45382533792167,100.65311861548469,238.10435566247085,286.0190971708287
1875-07-02 12:00:00,340.423418751528,100.89514567693863,237.98574384458348,286.02822873831957
1876-07-02 00:00:00,340.41735903623345,100.8773330796925,238.1687504780056,286.1390329722198
1877-07-02 12:00:00,340.4000635204147,100.90040893737671,238.22240898557789,286.1086065852954
1878-07-02 12:00:00,340.38882306714737,100.5935543333599,238.19529013013974,286.13833219900164
1879-07-02 12:00:00,340.3915180619676,100.68912630262109,238.3033094024763,286.10265286768157
1880-07-02 00:00:00,340.4266667582173,100.62606644599562,238.38778637371922,286.20514482806124
1881-07-02 12:00:00,340.45635876929015,100.70733876606302,238.38313950851673,286.2465629680914
1882-07-02 12:00:00,340.4483959607059,100.68948487802648,238.11111319470328,286.15368752638796
1883-07-02 12:00:00,340.44273428471007,101.56178452661067,238.16824202337935,286.1527888830465
1884-07-02 00:00:00,340.4962493453224,102.1548282362939,237.43122382193107,285.9269495956649
1885-07-02 12:00:00,340.45926110424676,101.04862676761992,237.6994907911875,285.976547408112
1886-07-02 12:00:00,340.4279545333803,100.65411146685169,238.3666054704513,286.14723780994206
1887-07-02 12:00:00,340.40805637760957,100.74300123696845,238.00904176865694,286.1251740731113
1888-07-02 00:00:00,340.40805130743735,100.77735910130775,238.13447394257935,286.1167694215012
1889-07-02 12:00:00,340.396961070852,100.81533936634845,238.20356149687746,286.0970104172646
1890-07-02 12:00:00,340.40398522063657,100.61711689394866,238.07707835698457,286.02128284851136
1891-07-02 12:00:00,340.45386825776296,100.9048344538491,237.82659643740502,286.02529552386693
1892-07-02 00:00:00,340.5026546609993,101.0461932002284,238.30027487640393,286.14978135107657
1893-07-02 12:00:00,340.52666526677035,100.64713232889727,238.20103172822976,286.09897295499064
1894-07-02 12:00:00,340.5658904642409,100.56526597143643,238.0986130653449,286.1280064292152
1895-07-02 12:00:00,340.52955415371406,100.75441151539371,238.59464876834033,286.326306993471
1896-07-02 00:00:00,340.4866163737012,100.7904396746041,238.09251768045274,286.20378098046854
1897-07-02 12:00:00,340.44650083559407,100.76863970861952,238.1788923514646,286.2115290517498
1898-07-02 12:00:00,340.43158242806646,100.6840078887643,238.29219634380058,286.2299600161959
1899-07-02 12:00:00,340.413936083804,100.7391647387554,238.34706324814297,286.24603116801325
1900-07-02 12:00:00,340.417181750723,100.69915002930843,238.16224634245359,286.2498977960887
1901-07-02 12:00:00,340.3852265988451,100.84030268134772,238.4876195721616,286.26162945344964
1902-07-02 12:00:00,340.389623688929,100.80669949342116,237.93535470175547,286.1163402212253
1903-07-02 12:00:00,340.4258706957137,101.29273242990581,237.76875941073033,286.01681557734895
1904-07-02 00:00:00,340.49872639519117,101.438571406344,237.9393288665494,286.0748938843208
1905-07-02 12:00:00,340.46138782304706,101.14974270974979,237.8334479547992,286.0162571868835
1906-07-02 12:00:00,340.50942004269575,101.1139561179026,237.90797878600435,286.08009451155846
1907-07-02 12:00:00,340.4827915154546,101.16765554810576,237.71737989104426,285.929100585649
1908-07-02 00:00:00,340.5075586942136,101.09403374103918,238.14601338520785,286.1018387155789
1909-07-02 12:00:00,340.4665169299804,101.01888285746882,237.88026110035955,286.1291658905145
1910-07-02 12:00:00,340.44219100528653,101.06082153623213,238.0753459942268,286.08023864043923
1911-07-02 12:00:00,340.4071806872334,100.9646120486497,237.91040254593182,286.06603877057216
1912-07-02 00:00:00,340.40149589228207,101.19717117513231,237.91509377740624,286.0264933135966
1913-07-02 12:00:00,340.3962104459978,101.25485833907516,237.70607474269357,285.9846815025276
1914-07-02 12:00:00,340.42320069526517,100.73797263927547,237.86444206079182,286.0365543336029
1915-07-02 12:00:00,340.5010061855278,100.8719658219239,238.19654980934328,286.2190630840625
1916-07-02 00:00:00,340.5719120089597,100.95921891503372,238.0225056208163,286.2134666630878
1917-07-02 12:00:00,340.6046029063633,100.90172074653073,237.565840742968,286.0349056409238
1918-07-02 12:00:00,340.61322849600805,100.71278369448889,237.85118664974584,286.16142975367853
1919-07-02 12:00:00,340.5484693876477,101.10776835284197,238.39021877781786,286.3344339062644
1920-07-02 00:00:00,340.4963994727316,100.83727645279828,238.156880349616,286.1459201909068
1921-07-02 12:00:00,340.45047905943136,100.77823854183119,238.20135190134843,286.2598394355087
1922-07-02 12:00:00,340.41632016362774,100.89668089017692,238.07278451657632,286.204085732811
1923-07-02 12:00:00,340.40850672106137,100.94124688855976,237.99266810169675,286.0905933275319
1924-07-02 00:00:00,340.43137063162084,100.96166983222527,237.8862135311539,286.1405142509613
1925-07-02 12:00:00,340.4647905487644,101.00335999061285,238.1756818261707,286.20290325217155
1926-07-02 12:00:00,340.5204288977157,100.93177348414257,237.91049631626356,286.062301407468
1927-07-02 12:00:00,340.5670093096304,100.64663625048475,237.95408155732892,286.1305848405569
1928-07-02 00:00:00,340.54453934872635,101.06471715927326,238.19630113523917,286.21238747595754
1929-07-02 12:00:00,340.52086061049675,100.87292821404351,237.59160327054522,285.930609662726
1930-07-02 12:00:00,340.52162986425657,101.20640150071473,237.6749485709549,286.1012883857384
1931-07-02 12:00:00,340.47753727913715,101.0898123217125,238.16388543096733,286.282882761492
1932-07-02 00:00:00,340.45336383916964,100.78725113476969,237.76728515534523,286.1358758888968
1933-07-02 12:00:00,340.4312135491374,100.8935307931435,237.93772996144347,286.282736081225
1934-07-02 12:00:00,340.4468196982337,101.04898600234566,238.06236131475256,286.3142231237801
1935-07-02 12:00:00,340.4989795261716,101.0870007232466,237.85491862680445,286.19002077435135
1936-07-02 00:00:00,340.61982665249064,101.13560591314479,238.00522493373785,286.2783730870661
1937-07-02 12:00:00,340.61828889004096,101.32609736040907,237.79656465282991,286.1333172383352
1938-07-02 12:00:00,340.5977661015176,101.16064105301763,237.72413379051804,286.05932425186484
1939-07-02 12:00:00,340.5924798050534,101.06156783484516,237.99758669269622,286.27155292690134
1940-07-02 00:00:00,340.5624041082629,101.27009426290101,237.93722582111764,286.1810299269226
1941-07-02 12:00:00,340.52303734570324,101.03255923359266,237.69956612803324,286.1190595169698
1942-07-02 12:00:00,340.4867517978399,101.18096663841368,237.9161519739143,286.17281994482454
1943-07-02 12:00:00,340.45044048043513,101.21784567492737,237.76921001527012,286.16698933517677
1944-07-02 00:00:00,340.4689767690081,101.07394840601336,237.8422763945132,286.203961751344
1945-07-02 12:00:00,340.5297677574596,101.13236991528508,238.05845721132428,286.14324195865083
1946-07-02 12:00:00,340.5624626829953,101.172586707047,237.47164778992877,285.9582525071813
1947-07-02 12:00:00,340.65235298348904,101.18027451320636,237.62117218420863,286.08351503737885
1948-07-02 00:00:00,340.69098558908377,101.56178789583585,238.08116641361832,286.24872278635826
1949-07-02 12:00:00,340.6522411953417,100.65559910756622,237.83140536342293,286.12979263338093
1950-07-02 12:00:00,340.58725764702086,100.97651212455789,238.03332444289336,286.34050318734126
1951-07-02 12:00:00,340.50085605227554,101.51645967717253,237.71223697740152,286.0981675942687
1952-07-02 00:00:00,340.50480638986113,101.18761582163613,237.5947894483152,286.078762843639
1953-07-02 12:00:00,340.4710205550475,101.4018823165444,237.57302771796003,286.0245836680399
1954-07-02 12:00:00,340.4714144784667,101.19062259883152,238.03987039369778,286.30745204672183
1955-07-02 12:00:00,340.52495042840724,101.25585454521418,237.77097410706233,286.1460379894417
1956-07-02 00:00:00,340.6501017212649,100.98352596167128,237.81085702355824,286.1377580898759
1957-07-02 12:00:00,340.7518211866023,101.19534927210913,237.83283288798984,286.2036243893456
1958-07-02 12:00:00,340.7667269653815,101.30341103239407,237.75724538636675,286.2093596839294
1959-07-02 12:00:00,340.70564587372627,101.01381027595995,237.8221525065908,286.2658216336981
1960-07-02 00:00:00,340.67024341534403,101.35203228234455,238.10810728921467,286.30728548702376
1961-07-02 12:00:00,340.5678233350367,101.30821123826809,237.7684539102088,286.1798674070072
1962-07-02 12:00:00,340.5022892822152,101.25730465223678,237.8163971292524,286.2340872033746
1963-07-02 12:00:00,340.4801644168478,102.36782248194488,237.07998748475939,286.08925968682803
1964-07-02 00:00:00,340.47760893958764,101.8305420127224,237.65002579381505,286.2407823564502
1965-07-02 12:00:00,340.4750237779181,101.56892096148107,237.43615470000358,286.02195811886656
1966-07-02 12:00:00,340.5251327041969,101.6977897971992,237.40874315717494,286.0598297204446
1967-07-02 12:00:00,340.5882013610723,101.48990832466323,237.57345598874235,286.11306387880444
1968-07-02 00:00:00,340.628658969908,101.29478344829444,237.55410846310508,286.1393534584466
1969-07-02 12:00:00,340.62589499114193,101.73990446483788,237.30551899471104,286.10611566288236
1970-07-02 12:00:00,340.62934149344636,101.60834447874731,237.70185748665713,286.2407557500448
1971-07-02 12:00:00,340.57431518082603,101.53571240531419,237.26532037227705,286.0213393680598
1972-07-02 00:00:00,340.57844239175694,101.5475345564717,237.22952359593333,286.150939109778
1973-07-02 12:00:00,340.5137799077684,101.61892740483808,237.51674454837644,286.21914000636633
1974-07-02 12:00:00,340.4863514831841,101.71101527684613,237.40121131809317,286.2944915179509
1975-07-02 12:00:00,340.48712000207917,101.75717518013619,237.16889733663936,286.050745667513
1976-07-02 00:00:00,340.48591577827614,101.841237236049,237.23092132207873,286.10106438267593
1977-07-02 12:00:00,340.53624794736356,101.50225233463671,237.31606245259965,286.1201307424034
1978-07-02 12:00:00,340.62651420894565,101.50885500144602,237.36437615059745,286.2555278008725
1979-07-02 12:00:00,340.70291869907476,101.51404530981189,237.30095718522477,286.25664853628706
1980-07-02 00:00:00,340.6954142359461,101.37323428659812,237.65055109737978,286.56502794612425
1981-07-02 12:00:00,340.69259861802635,101.8081598262355,237.64556411696344,286.43019029750184
1982-07-02 12:00:00,340.60714862821294,101.6879751957763,237.08099362585335,286.2216254239689
1983-07-02 12:00:00,340.6047646858505,101.91064008398058,236.91820405223118,286.2629885614011
1984-07-02 00:00:00,340.5125878878367,101.97666720484256,237.18855883758968,286.3484249933106
1985-07-02 12:00:00,340.4709204793775,101.5355361671593,236.95967568893272,286.2553892358658
1986-07-02 12:00:00,340.4751424516431,101.64530844226772,237.27516001125483,286.5151813710119
1987-07-02 12:00:00,340.4965525811836,101.54423923540719,237.32021775652666,286.4613986011246
1988-07-02 00:00:00,340.59292937190844,101.34102285394668,236.93935419893864,286.36542633540176
1989-07-02 12:00:00,340.7049335213887,101.46159419801207,237.26320348924776,286.62017159891275
1990-07-02 12:00:00,340.683610135361,101.49298876187005,237.57422669874188,286.703710120104
1991-07-02 12:00:00,340.680325502098,102.14724062211201,236.9764232021771,286.5495051629081
1992-07-02 00:00:00,340.64762467481387,102.95326908227632,236.4009094251122,286.46697993095086
1993-07-02 12:00:00,340.54310349313056,102.07798077109815,237.1426867252072,286.5453012050273
1994-07-02 12:00:00,340.4861763540172,101.48733091411395,236.82260417075835,286.47006010370916
1995-07-02 12:00:00,340.4752354606112,101.54216992283398,237.16540711933882,286.69833330619235
1996-07-02 00:00:00,340.45904352988674,101.54735290858751,237.36351631940408,286.72841920693463
1997-07-02 12:00:00,340.48257983014736,101.14049889592825,237.10201421845045,286.5950249910238
1998-07-02 12:00:00,340.57442233671514,101.24382129876285,237.12793315393753,286.6966132565187
1999-07-02 12:00:00,340.6422948913716,101.66528034118141,237.23732539101013,286.77872154169114
2000-07-02 00:00:00,340.6992424023128,101.26507526589438,237.37758759168534,286.77028814342356
2001-07-02 12:00:00,340.67058091156935,101.34142609711414,237.03691460396536,286.723388447921
2002-07-02 12:00:00,340.6818837564533,101.4444421047887,237.75823107585893,286.89885695166714
2003-07-02 12:00:00,340.5620803140858,101.35308032135059,237.1679757054427,286.6424489420037
2004-07-02 00:00:00,340.5169665016402,101.35266102454342,237.02493729038633,286.6887482147094
2005-07-02 12:00:00,340.45670902550586,101.14679890053247,237.6620035617859,286.95711335739514
2006-07-02 12:00:00,340.44521841951007,101.17201978225195,237.18130556780105,286.8307010337422
2007-07-02 12:00:00,340.42281826434004,101.29053985756268,237.04006324812246,286.9243758927864
2008-07-02 00:00:00,340.4258160204694,101.00752987540501,237.26892797786718,286.9192130842732
2009-07-02 12:00:00,340.41735242263263,101.15725557745215,237.27810977951563,286.97371052040313
2010-07-02 12:00:00,340.4611311827744,101.26009118877813,237.77518149440905,287.09460832172357
2011-07-02 12:00:00,340.52812800669267,101.09772210035582,237.33911058948067,286.8324807196525
2012-07-02 00:00:00,340.56463096588186,100.76864436845615,237.2108309767306,286.9920824976963
2013-07-02 12:00:00,340.5721267803173,100.92993884353177,237.59011559916075,287.21922234467473
2014-07-02 12:00:00,340.5913609133673,101.0119242902415,237.24909008620875,287.09811614539836
