year,rndt,tas
1850,0.345369115449202,0.05316500405916713
1851,0.45371715119328826,0.14809816656810426
1852,0.05146282845446137,0.24722662342861668
1853,0.20398825388811304,0.10420310941583466
1854,-0.5802321726260828,0.03231182104622121
1855,0.6674688054405635,-0.06802267552257035
1856,-0.41957103105609406,-0.20850544971966656
1857,-0.5124825344640982,-0.2038106367371597
1858,-0.7626148687117791,-0.006597348984371365
1859,-0.22764469548327781,0.013749972869618432
1860,0.23257040740186596,-0.11890344710599265
1861,0.19895020335791003,-0.1259271109158817
1862,-0.16067963136522678,-0.26616852846814254
1863,0.3104029058514186,-0.19098037184448913
1864,0.196101700740698,-0.09874346687053048
1865,0.7390858265924294,-0.02286659133642388
1866,0.34131030823220954,0.15882368869216634
1867,-0.7368994813538592,0.12271441747969902
1868,-0.22041071922289746,0.09002146808279576
1869,0.10549275661915658,-0.011041267402617905
1870,0.8111699770217768,0.05196438350128574
1871,0.14744520872166333,0.06624321712990877
1872,0.6254802251970233,0.2729821678154849
1873,0.03420493624494725,0.3599977731722106
1874,-0.8692216415122118,0.10689638361355946
1875,0.8872483040748023,-0.007665939185983461
1876,0.16306590676254018,0.2558901702686285
1877,-0.4773551321715246,0.15645044403919428
1878,0.20893970445686705,-0.030232669284714575
1879,0.563210679728769,0.0011539759118477377
1880,0.24664868335584345,0.2610159761268278
1881,-0.014209471459324163,0.2891273653261237
1882,-0.043007029959156284,0.01814717577343572
1883,0.1982657063993969,0.1453592333733127
1884,-2.031626569537565,-0.018537514583670145
1885,-0.44041188510325924,-0.03504312625824468
1886,-0.583052441187462,-0.11918568476772862
1887,0.5143533976166026,-0.05200210017653717
1888,0.25654987131862583,0.009116232897042664
1889,0.42653169393945234,0.10497101892212868
1890,-0.043489137943922174,0.39988964638791913
1891,-0.6759399885162196,0.4186807377378159
1892,-0.5727128069592311,0.1880878291871113
1893,0.35917697011022653,0.21462957828862272
1894,0.07864397005850776,0.1335019592252138
1895,1.0739499018576595,0.11796549791660027
1896,0.6015107540925868,0.22368648677684178
1897,-0.3164845529897491,0.1994609336734925
1898,-0.9728995513911229,0.08215724052593032
1899,-1.3606451551569592,-0.1371432850323231
1900,0.39789210059250024,-0.2922509251587826
1901,0.6593321042961549,-0.07800525588669416
1902,-0.11215376221838369,0.2158478387639775
1903,-1.062293146827713,-0.07910646474925898
1904,0.7362358900432184,-0.04910965578858395
1905,0.17966130625877952,0.11434645511582175
1906,-0.20489699821153806,0.20406353973231717
1907,-0.3973412096045905,0.12839857920943132
1908,0.4394708820675106,0.10693780679326892
1909,0.49895679354018796,0.18263741423606916
1910,0.2541398870870637,0.11188564566344894
1911,-0.18993851609380386,0.2073416481221102
1912,-0.7269327275895563,0.1248859918425751
1913,-0.5661990754767032,-0.08958205306515765
1914,-0.0458243408733523,-0.015531895158744646
1915,0.39313156397517446,-0.0318353975119976
1916,0.4562180001962446,0.06663856874826024
1917,0.10107687407843002,-0.06538647362754091
1918,0.7150793756011495,-0.010000568798488985
