time,rsdt,rsut,rlut,tas
1850-07-02 12:00:00,340.2428665585557,101.26587949304171,238.9988200128107,287.70248441323923
1851-07-02 12:00:00,340.24286684699194,101.11748538247446,239.35529798813596,287.8194281219542
1852-07-02 12:00:00,340.24286665884057,100.6668269987648,239.49050067542268,287.7829986234741
1853-07-02 12:00:00,340.24286672964104,100.67766289198947,239.36047507123484,287.7951372230712
1854-07-02 12:00:00,340.24286674879954,101.28421626964821,239.40509595511446,287.6779305493174
1855-07-02 12:00:00,340.24286657940917,102.25431527687563,238.8762778388602,287.5157486066017
1856-07-02 12:00:00,340.24286621312325,100.12124841815027,238.85078168174348,287.51778784229657
1857-07-02 12:00:00,340.2428665662127,100.56160368850668,239.10683468910983,287.7679448329161
1858-07-02 12:00:00,340.2428668843524,101.82118988897453,239.07456302248625,287.68848054428037
1859-07-02 12:00:00,340.2428665661399,101.4477943969005,239.4184142854086,287.691284091674
1860-07-02 12:00:00,340.24286631647124,101.00467685369232,239.27635913753122,287.56313052896286
1861-07-02 12:00:00,340.242866223282,101.57811478586488,238.97407960611187,287.43767823844684
1862-07-02 12:00:00,340.24286637244956,101.08081700002207,239.01868038207581,287.54592300888464
1863-07-02 12:00:00,340.242866155812,100.8543981091467,238.90171240097223,287.4020478767015
1864-07-02 12:00:00,340.242866064405,99.54596875325568,239.286047092117,287.6224600666455
1865-07-02 12:00:00,340.24286649248404,101.11359986051669,239.21823490179182,287.70232345797626
1866-07-02 12:00:00,340.24286657671456,100.76910188792677,239.56303207256167,287.80511706054193
1867-07-02 12:00:00,340.2428668432353,101.31455189841728,239.64304027911973,287.8537153782701
1868-07-02 12:00:00,340.24286650244204,101.09256715337892,239.1424471377602,287.68953235013845
1869-07-02 12:00:00,340.24286690993154,100.78737321763099,239.21514631155608,287.73145359398717
1870-07-02 12:00:00,340.2428669101796,101.56479805903057,239.37438720206657,287.6919922810893
1871-07-02 12:00:00,340.2428663860285,100.50325889834721,239.22513330572284,287.5822502549915
1872-07-02 12:00:00,340.2428664365317,100.58205660526592,239.1314765943571,287.6141256053639
1873-07-02 12:00:00,340.24286644828675,101.53318347567823,239.11947374643867,287.51184625145476
1874-07-02 12:00:00,340.24286626445985,100.8272853487742,238.86220657283752,287.62376564645325
1875-07-02 12:00:00,340.24286664301286,101.37148983964163,239.11570259935203,287.689783003526
1876-07-02 12:00:00,340.24286643916327,101.18607146019042,239.56100397262648,287.62491542420815
1877-07-02 12:00:00,340.24286602572766,101.13560378744948,239.13676516474743,287.6142896396161
1878-07-02 12:00:00,340.2428661550484,100.70717815318504,238.97547757730442,287.5094592370127
1879-07-02 12:00:00,340.2428663290564,100.52871918967348,239.17117338499511,287.77502843885685
1880-07-02 12:00:00,340.24286665820665,102.08194236602306,239.5157643678987,287.7371132106079
1881-07-02 12:00:00,340.2428660819541,100.71186855337925,239.0881186804767,287.5575112812644
1882-07-02 12:00:00,340.2428659825951,100.28378101248374,238.903340322665,287.7161855139464
1883-07-02 12:00:00,340.2428664349724,101.46297534363121,239.02048518929527,287.67196223449736
1884-07-02 12:00:00,340.2428662235508,101.48530513882469,238.8967926949283,287.6346784186224
1885-07-02 12:00:00,340.24286646556726,100.72408062163744,239.07434059692272,287.8493810223842
1886-07-02 12:00:00,340.24286686302895,102.20050658347121,239.49056003857436,287.8496185783651
1887-07-02 12:00:00,340.2428661412662,100.80401930349082,238.96505379928917,287.7570094774479
1888-07-02 12:00:00,340.2428662732231,100.51684838632805,239.14478663759937,287.82548814210935
1889-07-02 12:00:00,340.24286663100946,101.13531797549922,239.32060154504904,287.78156750267675
1890-07-02 12:00:00,340.2428664409851,101.51031958940273,239.0451371204202,287.7672374835901
1891-07-02 12:00:00,340.2428663189676,100.77534047262291,239.2273135657729,287.7685526415861
1892-07-02 12:00:00,340.24286646521153,101.40713903328545,239.09107376109282,287.78450439697826
1893-07-02 12:00:00,340.2428667835636,102.47755903487142,239.37955637021892,287.7406006816555
1894-07-02 12:00:00,340.2428656757463,101.97684976479412,238.31908208457307,287.3089535538873
1895-07-02 12:00:00,340.24286543415235,100.92782095379692,238.40292570018718,287.372479148712
1896-07-02 12:00:00,340.24286582411065,100.98315786977382,238.4689823077005,287.7003330646609
1897-07-02 12:00:00,340.24286663347755,101.84708079215174,239.38216066234597,287.73070694124766
1898-07-02 12:00:00,340.2428659702403,101.39539354780044,238.71542561391857,287.4586878076088
1899-07-02 12:00:00,340.2428655547939,100.0565180922647,238.44160479731156,287.5700115591017
1900-07-02 12:00:00,340.24286629489546,101.23258464368335,239.0137908416516,287.7717537764572
1901-07-02 12:00:00,340.24286643357686,101.73223456302973,239.18658251373623,287.69702032183545
1902-07-02 12:00:00,340.2428658280731,101.87936054838525,238.82565839324866,287.5378271526374
1903-07-02 12:00:00,340.2428657826191,100.81036251296501,238.5535526560292,287.4889387494172
1904-07-02 12:00:00,340.242865735029,100.61026104015734,238.95687677523858,287.53356578612824
1905-07-02 12:00:00,340.24286597729593,100.70965215250546,238.76594390394584,287.65843391655113
1906-07-02 12:00:00,340.24286609889174,100.55745152337575,238.99458737967325,287.63304752634764
1907-07-02 12:00:00,340.2428661795354,100.67516692545121,238.7884288644633,287.7491485307192
1908-07-02 12:00:00,340.24286639662324,100.11721726800965,239.56210438014355,288.04743042987917
1909-07-02 12:00:00,340.2428667425063,102.41161622930782,239.66296223846328,287.87433276084903
1910-07-02 12:00:00,340.24286552432267,100.61280468475822,239.1233074869319,287.5900675311126
1911-07-02 12:00:00,340.24286592516586,99.73899285522475,239.24025040934134,287.8536761492018
1912-07-02 12:00:00,340.2428665574649,100.7564845295758,239.57905305533805,288.10421786319625
