,time,rsdt,rsut,rlut,tas
0,5550-07-02 12:00:00,340.23116747340947,100.14110492507369,239.79858518642752,286.5397238552536
1,5551-07-02 12:00:00,340.23116747340947,100.36226952874732,239.9955695715071,286.53706242471736
2,5552-07-02 12:00:00,340.23116747340947,100.37562471759274,239.7222144227098,286.48348524687293
3,5553-07-02 12:00:00,340.23116747340947,100.2634512572642,239.71449104979388,286.48237914515784
4,5554-07-02 12:00:00,340.23116747340947,100.10376279365472,239.7784041750306,286.4848572329244
5,5555-07-02 12:00:00,340.23116747340947,100.09669138899692,240.0351181101762,286.6260626109641
6,5556-07-02 12:00:00,340.23116747340947,100.74339575509048,240.12530051567774,286.591351890529
7,5557-07-02 12:00:00,340.23116747340947,100.30359506788243,239.88331216853825,286.5290198321024
8,5558-07-02 12:00:00,340.23116747340947,100.07420453802091,240.00909667504075,286.5438761188545
9,5559-07-02 12:00:00,340.23116747340947,100.39515053616579,239.65910840516736,286.38895473248675
10,5560-07-02 12:00:00,340.23116747340947,100.38288091059256,239.70748168642106,286.37994451957246
11,5561-07-02 12:00:00,340.23116747340947,100.33048932356827,239.6817388232918,286.4124424848883
12,5562-07-02 12:00:00,340.23116747340947,100.61719532950218,239.66103139872135,286.31630818421127
13,5563-07-02 12:00:00,340.23116747340947,100.32782600675414,239.65530469616223,286.3156091521386
14,5564-07-02 12:00:00,340.23116747340947,100.09008363446848,239.83889895263883,286.4494016968705
15,5565-07-02 12:00:00,340.23116747340947,100.57996497838748,239.80060136779227,286.4348028397738
16,5566-07-02 12:00:00,340.23116747340947,100.06554513870897,239.74514625989607,286.4497114470352
17,5567-07-02 12:00:00,340.23116747340947,100.20056259292527,239.9198664783281,286.57175083151577
18,5568-07-02 12:00:00,340.23116747340947,100.2881171104006,239.7714771111741,286.55015951470585
19,5569-07-02 12:00:00,340.23116747340947,100.45892540427629,239.77585628333418,286.37927950035134
20,5570-07-02 12:00:00,340.23116747340947,100.43260881367165,239.6804580636773,286.3461561515809
21,5571-07-02 12:00:00,340.23116747340947,100.197723189466,239.731597720432,286.40619789980843
22,5572-07-02 12:00:00,340.23116747340947,100.07717395582381,239.9279942389803,286.4851196837016
23,5573-07-02 12:00:00,340.23116747340947,100.20204412104442,239.9286305153781,286.57451449890976
24,5574-07-02 12:00:00,340.23116747340947,100.64531965941707,239.96059834475713,286.47075283859994
25,5575-07-02 12:00:00,340.23116747340947,100.27119392751096,239.64204937447394,286.37163900197555
26,5576-07-02 12:00:00,340.23116747340947,99.92806715354783,240.08147946618342,286.57942870589324
27,5577-07-02 12:00:00,340.23116747340947,100.47030368323487,239.70175124716312,286.4696648183293
28,5578-07-02 12:00:00,340.23116747340947,100.1097003199586,239.75559927666382,286.4952532942345
29,5579-07-02 12:00:00,340.23116747340947,100.1745603716357,239.8151591277932,286.45963504755315
30,5580-07-02 12:00:00,340.23116747340947,100.15629194226865,240.04882677158685,286.56500571678066
31,5581-07-02 12:00:00,340.23116747340947,100.39203566764094,239.80793929904823,286.48281196082536
32,5582-07-02 12:00:00,340.23116747340947,100.33762757231148,239.72930355075198,286.4568044034541
33,5583-07-02 12:00:00,340.23116747340947,99.98351579219292,239.77218110394782,286.4818815029471
34,5584-07-02 12:00:00,340.23116747340947,100.23101321362508,240.03312671929302,286.6429432857215
35,5585-07-02 12:00:00,340.23116747340947,100.46293714513301,239.84245962015652,286.4455308395572
